value,value,value,value,value,value,value,value,value,suburbName
47380,47286,46636,46741,47311,48799,50428,52078,53048,KURRI KURRI
54201,53537,57011,56817,56492,56671,59566,62600,60554,BUREEN
43038,45167,45535,46225,46901,44996,44307,43004,49343,BORAMBIL
69767,69191,68274,68441,65462,67787,69739,71153,72240,APPLETREE FLAT
64508,65689,65465,64296,62192,64499,66576,68008,68885,BAERAMI
57041,58004,56720,56175,57869,59096,61376,63760,66134,GRETA
63944,62978,63538,64850,61897,62980,65612,68927,71530,BELFORD
57580,58791,61319,60934,58592,60632,61532,62583,66143,ABERDEEN
68845,111407,73352,57627,57016,59225,73062,70390,75201,BELLTREES
42818,43584,43095,42658,44174,44000,46132,47037,50136,ARDGLEN
33014,34727,40424,44941,51860,50717,37932,39341,41556,BIG JACKS CREEK
45361,46318,47775,49230,49877,52339,52094,53650,56927,APPLEBY
41112,42324,42290,41833,45163,44460,44576,43469,48417,WERRIS CREEK
32487,36009,40704,39662,43289,38615,40405,36040,45013,CURRABUBULA
39842,39942,44049,49264,47799,49034,43609,43068,49008,BLACKVILLE
38496,40722,39554,46105,46396,46277,44725,42419,47496,DURI
37942,40109,41136,45534,46202,47024,46158,45105,51136,ATTUNGA
37251,38368,39767,41180,41383,43306,40670,39847,44975,BORAH CREEK
29825,31235,37854,40763,41790,38064,32983,23332,37040,BANOON
45482,46948,48667,49043,49544,51313,52911,53251,58678,ABERFOYLE
41627,44886,44487,46422,46781,47896,47893,47185,54474,KOOTINGAL
40511,41863,43354,43573,44444,44915,46547,47679,50764,MOONBI
33716,32764,37481,41135,41456,43806,40550,35555,48797,BRANGA PLAINS
73314,33955,36058,37538,36266,40215,34545,38075,47312,BENDEMEER
37560,38480,43350,46084,45355,45107,41346,41159,47796,BOMERA
36906,37776,40529,41498,44280,43834,43784,40819,47740,ARDING
24742,27082,32919,33514,36182,36846,33293,24722,36835,BAKERS CREEK
38519,39838,41943,43685,44095,45572,46210,44772,50077,AUBURN VALE
25431,25550,28381,33253,33359,34770,26488,25371,33418,ASHFORD
33020,37097,35634,39305,40070,40852,39854,30841,44687,BACKWATER
35257,36492,37834,37317,37686,38718,37092,36616,41262,OLD MILL
34100,34528,36827,38669,39737,40971,39894,37126,43878,BALD NOB
28252,29464,28191,32356,32134,32737,34540,27646,38490,CAPOOMPETA
33062,34311,34129,36408,35875,36186,36890,35580,41605,BACK CREEK
48159,50155,52947,54990,55944,59409,59343,60209,63728,BASIN PLAIN
39700,45814,47645,48313,54950,51794,50438,51707,55905,BREEZA
43938,44193,48429,47914,49178,51904,49323,52242,56209,BOGGABRI
44113,43242,41497,45085,47232,48939,47114,41022,49579,BOOLCARROLL
47866,49819,53792,51779,53966,55310,54072,52126,59010,BAAN BAA
31001,27787,33112,36160,37040,34242,28493,26526,37420,BINNAWAY
34143,35728,37624,40639,43110,45006,40750,37822,56905,BARADINE
36976,39675,39250,52503,51923,32995,37713,40418,47234,BINIGUY
51454,49983,53073,52551,58020,61044,54783,49149,59179,ASHLEY
28000,27201,30974,38651,43619,41515,30218,15991,20172,GRAVESEND
36779,36116,39507,41473,43752,43596,39021,36727,41753,COOLATAI
21691,24368,26983,32263,34852,37586,26540,15338,32790,BALFOURS PEAK
27013,24614,33161,38247,39783,40288,33284,27654,38901,BANGHEET
46052,44610,40675,58644,70431,59241,30527,18204,36887,MUNGINDI
57252,55826,55270,51419,55067,56483,50371,38521,43466,BOGGABILLA
34351,33940,39447,57657,58242,41394,25613,12427,20669,TWIN RIVERS
39124,37385,40635,39495,44044,41003,43276,44013,46360,MONKERAI
40977,42638,43156,43680,44603,46114,48149,49056,52378,ALISON
52289,51945,54926,54665,61660,58776,70346,59374,63648,FISHERS HILL
37035,37297,39463,40141,39965,39900,41722,41304,44804,BACK CREEK
41148,38548,38090,39807,40329,40841,41102,41826,46193,BOMBAH POINT
27537,27230,31539,31942,33707,33301,35911,34808,39359,CAFFREYS FLAT
46198,46642,48657,49064,48624,49376,50311,50921,54986,ALLWORTH
38571,39659,38255,39915,40394,39668,41029,41692,44712,COOPERNOOK
39212,41071,42668,41281,42747,41563,43124,44177,47767,CROWDY HEAD
40094,40806,42183,45159,42947,44368,45127,46061,53194,BLUEYS BEACH
36170,36919,37743,39141,39753,41749,42838,42329,46678,BOBIN
40998,41577,42391,43692,43681,45141,46078,47212,50939,BLACK HEAD
37839,39649,40276,41501,42177,42869,43897,45375,50297,ARAKOON
39724,39740,41236,42328,40887,41908,43962,47170,48158,BATAR CREEK
37510,38599,39660,40627,40405,42209,43320,44922,47512,ALDAVILLA
38832,39737,41188,42250,40796,47681,43444,43626,48088,ALLGOMERA
35593,37519,38642,38723,38650,38892,39992,41223,44566,BOBS CREEK
44472,45835,47623,48593,49067,50763,52177,53674,58340,BLACKMANS POINT
42596,43097,44958,45104,46013,47135,48082,49068,53586,BONNY HILLS
39998,41395,43519,43528,44377,45572,46720,48370,52796,BAGNOO
37549,39503,38537,39988,41607,42621,42125,43785,46436,BAKERS CREEK
